open_time,open,high,low,close,volume,quote_asset_volume,trades,taker_base,taker_quote,ignore
2025-11-03 22:11:00,106602.67,106602.68,106468.0,106468.01,13.10797,1396535.0105638,4560,5.23837,558052.7849695,0
2025-11-03 22:12:00,106468.0,106468.01,106363.04,106385.28,61.47538,6540234.9128262,6865,27.13916,2886901.200649,0
2025-11-03 22:13:00,106385.28,106516.39,106385.28,106516.39,15.29428,1628160.8913631,3453,12.05525,1283324.0391274,0
2025-11-03 22:14:00,106516.38,106527.01,106436.0,106524.31,34.15275,3636367.163669,4505,18.08858,1925790.3511729,0
2025-11-03 22:15:00,106524.32,106602.32,106512.01,106512.01,20.4573,2179945.2773438,3870,12.54428,1336679.1923824,0
2025-11-03 22:16:00,106512.01,106571.77,106483.54,106510.35,26.65683,2839852.1143446,2977,6.23279,663978.7541212,0
2025-11-03 22:17:00,106510.34,106582.88,106505.12,106582.35,11.18828,1192011.5652787,2175,9.07972,967358.4330308,0
2025-11-03 22:18:00,106582.35,106582.35,106533.95,106556.9,24.05932,2563516.4100282,1945,5.33993,568956.5751952,0
2025-11-03 22:19:00,106556.91,106564.43,106515.94,106520.95,7.00502,746262.7638319,1760,1.76185,187698.8001773,0
2025-11-03 22:20:00,106520.94,106560.0,106520.94,106560.0,3.09512,329723.6933479,874,2.76202,294234.5799366,0
2025-11-03 22:21:00,106560.0,106610.0,106480.0,106480.0,13.76878,1466977.1705552,5136,4.84277,515962.2386134,0
2025-11-03 22:22:00,106480.01,106480.01,106262.85,106364.4,24.52461,2608731.8396589,7833,9.46856,1006937.5442923,0
2025-11-03 22:23:00,106364.4,106412.0,106357.22,106406.55,10.66271,1134410.9093113,2506,4.01277,426895.9417353,0
2025-11-03 22:24:00,106406.55,106420.0,106345.63,106362.93,7.80156,829973.1838856,2980,2.62783,279500.5188508,0
2025-11-03 22:25:00,106362.93,106362.93,106300.75,106300.76,17.68872,1880756.7840922,2626,2.98776,317677.8874886,0
2025-11-03 22:26:00,106300.75,106330.0,106210.51,106210.52,13.80506,1467088.5676407,4449,2.56281,272419.6865705,0
2025-11-03 22:27:00,106210.52,106266.0,106210.0,106241.03,5.98923,636296.2367578,3006,4.34344,461423.7395003,0
2025-11-03 22:28:00,106241.03,106241.03,106150.0,106150.01,5.76177,611881.1904652,3743,0.64721,68730.4726725,0
2025-11-03 22:29:00,106150.01,106204.65,106136.84,106176.34,42.93659,4558691.25786,4467,11.72322,1244676.7713327,0
2025-11-03 22:30:00,106176.33,106176.33,105755.59,105930.18,163.64401,17333960.8249306,18718,50.89854,5390365.5970787,0
2025-11-03 22:31:00,105930.17,106059.65,105930.17,106058.46,21.89963,2321868.944465,5861,10.36449,1098790.6582439,0
2025-11-03 22:32:00,106058.46,106079.09,105949.58,106014.14,30.40239,3223263.948624,8208,9.93276,1052917.5590654,0
2025-11-03 22:33:00,106014.14,106041.04,106004.3,106004.3,8.70302,922794.0705247,3199,2.95577,313388.8833646,0
2025-11-03 22:34:00,106004.3,106294.66,106004.3,106284.03,22.46687,2384476.2590078,6975,19.08847,2025511.7917323,0
2025-11-03 22:35:00,106284.02,106300.0,106136.58,106158.4,13.82935,1468690.8624375,6791,5.03701,534738.1286033,0
2025-11-03 22:36:00,106158.41,106375.81,106158.41,106321.97,12.24988,1301777.3108032,6266,6.1374,652139.0065134,0
2025-11-03 22:37:00,106321.98,106455.98,106321.97,106388.8,20.6157,2193778.9104939,5086,11.85213,1261222.9446217,0
2025-11-03 22:38:00,106388.81,106429.76,106359.53,106427.04,11.31983,1204374.3643886,3036,3.86649,411380.6291581,0
2025-11-03 22:39:00,106427.04,106427.04,106288.29,106288.3,10.78863,1147696.1951398,3930,4.39544,467673.4506526,0
2025-11-03 22:40:00,106288.3,106388.01,106288.3,106338.29,12.66111,1346584.497751,4480,6.32653,672808.3582478,0
2025-11-03 22:41:00,106338.29,106357.74,106285.81,106357.74,13.24221,1407778.2062689,3083,9.26588,985029.8214228,0
2025-11-03 22:42:00,106357.75,106400.0,106331.9,106357.89,6.70607,713279.6342784,2710,2.18897,232833.2286015,0
2025-11-03 22:43:00,106357.89,106397.66,106357.89,106364.29,2.98059,317084.4578955,1711,1.90123,202252.676301,0
2025-11-03 22:44:00,106364.29,106400.01,106358.56,106376.06,20.3211,2161831.6904052,1794,18.27044,1943663.1420269,0
2025-11-03 22:45:00,106376.07,106430.0,106376.06,106430.0,10.37417,1103808.9587956,1554,9.21731,980723.8055793,0
2025-11-03 22:46:00,106430.0,106510.34,106429.99,106472.3,10.77143,1146931.0776586,4155,7.32438,779826.1170146,0
2025-11-03 22:47:00,106472.29,106536.14,106472.29,106488.57,6.65494,708814.6512282,3634,2.51467,267804.644692,0
2025-11-03 22:48:00,106488.56,106553.28,106488.56,106553.28,11.21379,1194760.82395,2374,10.17094,1083645.5019029,0
2025-11-03 22:49:00,106553.27,106633.59,106553.27,106633.58,30.94773,3298924.3873025,4778,28.28326,3014843.3087163,0
2025-11-03 22:50:00,106633.59,106633.59,106629.52,106629.52,4.32678,461378.5300281,498,1.99467,212698.0316447,0
2025-11-03 22:51:00,106629.53,106629.53,106505.57,106530.88,21.02208,2239678.5386018,5998,5.12395,545837.6224982,0
2025-11-03 22:52:00,106530.88,106537.17,106452.85,106537.16,9.19275,978928.6795033,5220,3.49646,372301.7965572,0
2025-11-03 22:53:00,106537.16,106537.17,106515.73,106515.74,6.00403,639590.8778775,608,0.39726,42321.8117922,0
2025-11-03 22:54:00,106515.73,106515.74,106501.39,106501.4,4.81528,512867.2281526,769,1.33983,142695.2008339,0
2025-11-03 22:55:00,106501.4,106501.4,106325.47,106325.47,42.87769,4563901.8653835,5435,4.26234,453481.8374335,0
2025-11-03 22:56:00,106325.48,106340.3,106325.47,106340.29,1.7862,189926.6550491,696,1.62148,172410.5216481,0
2025-11-03 22:57:00,106340.29,106398.2,106340.29,106398.2,4.83053,513843.0653311,2047,4.11249,437458.9215391,0
2025-11-03 22:58:00,106398.19,106489.81,106398.19,106430.39,30.80387,3279317.249393,2801,23.70299,2523296.4786735,0
2025-11-03 22:59:00,106430.39,106489.95,106430.38,106489.95,3.16407,336860.0111098,1669,1.80795,192460.9057419,0
2025-11-03 23:00:00,106489.94,106489.95,106325.48,106325.49,16.25492,1730217.3184682,4220,6.12646,652169.4243242,0
2025-11-03 23:01:00,106325.48,106325.49,106174.37,106186.26,8.5918,912641.8076512,4728,4.32795,459598.1907772,0
2025-11-03 23:02:00,106186.25,106186.26,106048.72,106048.72,28.6907,3044393.8908582,5156,1.38266,146722.061403,0
2025-11-03 23:03:00,106048.71,106096.07,106030.14,106040.0,26.61117,2822404.0527564,3603,7.07282,750058.1856741,0
2025-11-03 23:04:00,106039.99,106108.21,106039.99,106108.0,30.39965,3224074.3175186,5050,27.32721,2898108.1314328,0
2025-11-03 23:05:00,106108.0,106150.9,106107.7,106150.9,4.63486,491857.4603578,1958,2.07094,219779.4010925,0
2025-11-03 23:06:00,106150.9,106207.76,106150.9,106207.75,15.81801,1679543.6965995,4530,7.16928,761149.770043,0
2025-11-03 23:07:00,106207.76,106207.76,106152.04,106169.99,6.9425,737172.272837,2893,1.45964,154950.4609886,0
2025-11-03 23:08:00,106170.0,106222.77,106164.23,106164.24,4.45858,473518.6021534,2858,0.75835,80532.9975359,0
2025-11-03 23:09:00,106164.24,106222.75,106164.23,106190.07,8.51061,903836.4800956,2567,3.68553,391379.1872006,0
2025-11-03 23:10:00,106190.07,106240.17,106168.83,106168.84,12.38329,1315234.3819546,2368,3.37666,358653.1446629,0
2025-11-03 23:11:00,106168.83,106286.7,106168.83,106264.3,12.00112,1275071.5758896,3818,3.52301,374192.9819645,0
2025-11-03 23:12:00,106264.29,106327.6,106264.29,106327.6,14.11312,1500091.3465282,1651,6.41955,682310.9345252,0
2025-11-03 23:13:00,106327.6,106339.98,106257.97,106257.97,8.41815,895008.6160095,2115,0.47678,50693.0184909,0
2025-11-03 23:14:00,106257.97,106304.94,106246.41,106246.42,6.55268,696364.3250742,2892,4.66464,495699.3737336,0
2025-11-03 23:15:00,106246.42,106315.73,106230.38,106315.65,7.18183,763351.0871475,1997,1.62316,172502.1781463,0
